Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,job_simp,seniority,posting_date,posting_month,platform,work_setting,degree_required,min_experience_years,max_experience_years,is_urban,ai_mentioned,role_family,python,excel,hadoop,spark,aws,tableau,big_data
Senior Data Analyst,$64175-92997,"We are looking for a Senior Data Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,BrightPath Education,"Seattle, WA","Chicago, IL",51 to 200 employees,Nonprofit Organization,Retail,Healthcare,$1 to $5 billion (USD),64175,92997,78586,WA,1,9,data analyst,jr,2024-11-26,2024-11,Glassdoor,Hybrid,None,0,1,Urban,1,Data Analyst,0,0,0,1,1,0,0
Applied Data Scientist,$83159-113998,"We are looking for a Applied Data Scientist to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.7,BrightPath Education,"Atlanta, GA","Seattle, WA",10000+ employees,Company - Private,Education,Industrial,$5 to $25 million (USD),83159,113998,98578,GA,1,34,data scientist,mid,2024-03-09,2024-03,Glassdoor,Remote,BA/BS,4,7,Urban,1,Data Scientist,0,1,0,0,1,1,1
Reporting Analyst,$56085-86612,"We are looking for a Reporting Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.0,Greenfield Health,"New York, NY","New York, NY",201 to 500 employees,Company - Public,Education,Finance,$5 to $10 billion (USD),56085,86612,71348,NY,1,47,bi analyst,jr,2024-08-06,2024-08,LinkedIn,Remote,None,2,2,Non-Urban,0,Business Intelligence,0,0,0,1,0,1,0
Junior Data Analyst,$78261-103276,"We are looking for a Junior Data Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.8,Northstar Data,"Seattle, WA","Seattle, WA",10000+ employees,Government,Health Care,Finance,$25 to $50 million (USD),78261,103276,90768,WA,1,29,data analyst,jr,2024-03-31,2024-03,Company Site,Remote,BA/BS,1,3,Urban,1,Data Analyst,1,1,0,0,0,1,0
Applied Data Scientist,$96272-113652,"We are looking for a Applied Data Scientist to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,Acme Analytics,"Boston, MA","Austin, TX",201 to 500 employees,Nonprofit Organization,Financial Services,Healthcare,$500 million to $1 billion (USD),96272,113652,104962,MA,1,66,data scientist,mid,2024-07-23,2024-07,Glassdoor,Onsite,BA/BS,3,4,Non-Urban,1,Data Scientist,0,1,0,0,1,1,0
Junior Data Analyst,$118284-133184,"We are looking for a Junior Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.7,FinSight Capital,"New York, NY","Seattle, WA",10000+ employees,Company - Public,Consulting,Consumer,$5 to $25 million (USD),118284,133184,125734,NY,1,25,data analyst,senior,2024-06-18,2024-06,Glassdoor,Hybrid,BA/BS,6,9,Non-Urban,0,Data Analyst,0,0,1,0,1,1,0
Reporting Analyst,$112081-136335,"We are looking for a Reporting Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.8,FinSight Capital,"Miami, FL","New York, NY",201 to 500 employees,Nonprofit Organization,Retail,Consumer,$500 million to $1 billion (USD),112081,136335,124208,FL,1,29,bi analyst,senior,2024-08-14,2024-08,Indeed,Hybrid,PhD,4,8,Urban,1,Business Intelligence,1,0,0,0,1,1,0
Data Scientist,$57503-79298,"We are looking for a Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.4,MetroBank,"San Francisco, CA","Austin, TX",501 to 1000 employees,Company - Public,Manufacturing,Consumer,$1 to $5 billion (USD),57503,79298,68400,CA,1,16,data scientist,jr,2024-12-01,2024-12,LinkedIn,Onsite,None,1,1,Urban,0,Data Scientist,1,0,0,0,1,1,0
Business Intelligence Analyst,$105651-134563,"We are looking for a Business Intelligence Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.8,RetailVision,"Denver, CO","Seattle, WA",10000+ employees,Government,Telecommunications,Finance,$5 to $10 billion (USD),105651,134563,120107,CO,1,11,bi analyst,mid,2024-05-06,2024-05,Glassdoor,Onsite,MS,4,5,Non-Urban,1,Business Intelligence,1,1,0,0,1,0,1
Data Scientist,$70048-94124,"We are looking for a Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.4,CloudScale Labs,"San Francisco, CA","Austin, TX",501 to 1000 employees,Nonprofit Organization,Telecommunications,Consumer,$1 to $5 million (USD),70048,94124,82086,CA,1,54,data scientist,jr,2024-08-03,2024-08,Company Site,Onsite,None,2,3,Non-Urban,1,Data Scientist,0,1,0,0,1,0,0
Applied Data Scientist,$61803-86899,"We are looking for a Applied Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.8,Acme Analytics,"Austin, TX","Chicago, IL",5001 to 10000 employees,Government,Health Care,Consumer,$25 to $50 million (USD),61803,86899,74351,TX,1,28,data scientist,jr,2024-09-30,2024-09,LinkedIn,Onsite,None,0,2,Non-Urban,1,Data Scientist,1,1,0,1,0,0,0
Reporting Analyst,$100288-127166,"We are looking for a Reporting Analyst to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,FinSight Capital,"Atlanta, GA","New York, NY",501 to 1000 employees,Company - Private,Information Technology,Healthcare,$50 to $100 million (USD),100288,127166,113727,GA,1,60,bi analyst,mid,2024-11-29,2024-11,LinkedIn,Onsite,BA/BS,2,3,Urban,1,Business Intelligence,1,0,0,0,1,0,0
Analytics Engineer,$69904-102107,"We are looking for a Analytics Engineer to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.7,Northstar Data,"Chicago, IL","Chicago, IL",1 to 50 employees,Company - Private,Education,Education,$1 to $5 billion (USD),69904,102107,86005,IL,1,48,data engineer,jr,2024-04-11,2024-04,LinkedIn,Hybrid,None,0,2,Non-Urban,0,Data Engineer,1,0,0,1,1,1,0
Senior Data Analyst,$132155-156281,"We are looking for a Senior Data Analyst to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.8,FinSight Capital,"Denver, CO","New York, NY",501 to 1000 employees,Nonprofit Organization,Telecommunications,Industrial,$25 to $50 million (USD),132155,156281,144218,CO,1,12,data analyst,senior,2024-09-24,2024-09,Glassdoor,Hybrid,PhD,5,8,Non-Urban,0,Data Analyst,1,1,0,0,1,0,0
Analytics Engineer,$76978-103927,"We are looking for a Analytics Engineer to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.4,MetroBank,"Austin, TX","Chicago, IL",1 to 50 employees,Government,Consulting,Finance,$5 to $10 billion (USD),76978,103927,90452,TX,1,63,data engineer,jr,2024-05-12,2024-05,Glassdoor,Remote,BA/BS,2,2,Urban,1,Data Engineer,1,1,0,0,0,1,0
Business Intelligence Analyst,$66011-86266,"We are looking for a Business Intelligence Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.6,CloudScale Labs,"Atlanta, GA","Seattle, WA",201 to 500 employees,Government,Consulting,Consumer,$10+ billion (USD),66011,86266,76138,GA,1,36,bi analyst,jr,2024-12-25,2024-12,Company Site,Remote,BA/BS,0,0,Urban,1,Business Intelligence,1,1,0,0,1,0,0
Data Engineer,$65980-85619,"We are looking for a Data Engineer to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,Urban Insights,"Atlanta, GA","New York, NY",5001 to 10000 employees,Company - Public,Education,Tech,$1 to $5 million (USD),65980,85619,75799,GA,1,33,data engineer,jr,2024-12-23,2024-12,Indeed,Hybrid,BA/BS,0,0,Non-Urban,1,Data Engineer,1,0,0,0,1,0,0
Business Intelligence Analyst,$65074-84343,"We are looking for a Business Intelligence Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.0,MetroBank,"New York, NY","San Francisco, CA",51 to 200 employees,Nonprofit Organization,Financial Services,Finance,$5 to $25 million (USD),65074,84343,74708,NY,1,79,bi analyst,jr,2024-08-01,2024-08,Indeed,Onsite,BA/BS,1,2,Non-Urban,0,Business Intelligence,0,0,0,0,1,1,0
Data Analyst,$119494-144649,"We are looking for a Data Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.8,Northstar Data,"Chicago, IL","San Francisco, CA",51 to 200 employees,Company - Private,Health Care,Tech,$1 to $5 billion (USD),119494,144649,132071,IL,1,76,data analyst,senior,2024-10-31,2024-10,Company Site,Remote,BA/BS,5,9,Non-Urban,0,Data Analyst,1,0,0,1,1,0,0
Applied Data Scientist,$74161-98454,"We are looking for a Applied Data Scientist to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.8,Urban Insights,"Atlanta, GA","San Francisco, CA",1 to 50 employees,Company - Private,Health Care,Healthcare,$100 to $500 million (USD),74161,98454,86307,GA,1,4,data scientist,jr,2024-08-27,2024-08,Glassdoor,Hybrid,BA/BS,2,4,Non-Urban,1,Data Scientist,1,1,0,0,1,0,0
Data Analyst,$138077-158035,"We are looking for a Data Analyst to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.1,Greenfield Health,"New York, NY","San Francisco, CA",501 to 1000 employees,Government,Education,Finance,$1 to $5 billion (USD),138077,158035,148056,NY,1,52,data analyst,senior,2024-09-08,2024-09,LinkedIn,Hybrid,MS,5,8,Urban,0,Data Analyst,0,0,0,0,1,1,0
Junior Data Analyst,$66171-85602,"We are looking for a Junior Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.3,Northstar Data,"Austin, TX","Seattle, WA",10000+ employees,Company - Private,Telecommunications,Consumer,$1 to $5 million (USD),66171,85602,75886,TX,1,78,data analyst,jr,2024-07-04,2024-07,Company Site,Hybrid,None,0,1,Urban,0,Data Analyst,1,0,0,0,0,1,1
Data Scientist,$71848-97580,"We are looking for a Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.9,Northstar Data,"Boston, MA","New York, NY",501 to 1000 employees,Company - Private,Health Care,Consumer,$100 to $500 million (USD),71848,97580,84714,MA,1,54,data scientist,mid,2024-05-19,2024-05,Company Site,Onsite,MS,2,4,Urban,1,Data Scientist,1,1,0,0,0,1,0
Analytics Engineer,$64377-92989,"We are looking for a Analytics Engineer to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.4,MetroBank,"Denver, CO","San Francisco, CA",501 to 1000 employees,Government,Consulting,Healthcare,$10+ billion (USD),64377,92989,78683,CO,1,49,data engineer,jr,2024-07-12,2024-07,Company Site,Onsite,None,2,2,Non-Urban,1,Data Engineer,1,1,0,0,0,0,0
Business Intelligence Analyst,$80358-100655,"We are looking for a Business Intelligence Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.0,MetroBank,"Seattle, WA","New York, NY",10000+ employees,Government,Financial Services,Education,$5 to $10 billion (USD),80358,100655,90506,WA,1,69,bi analyst,mid,2024-03-14,2024-03,Company Site,Onsite,BA/BS,2,4,Non-Urban,1,Business Intelligence,1,0,0,0,1,1,0
Reporting Analyst,$133114-152566,"We are looking for a Reporting Analyst to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.8,MetroBank,"San Francisco, CA","San Francisco, CA",5001 to 10000 employees,Nonprofit Organization,Retail,Industrial,$5 to $25 million (USD),133114,152566,142840,CA,1,19,bi analyst,senior,2024-02-20,2024-02,LinkedIn,Hybrid,PhD,5,7,Urban,1,Business Intelligence,0,0,0,1,1,0,0
Applied Data Scientist,$151732-167467,"We are looking for a Applied Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.4,Urban Insights,"San Francisco, CA","Seattle, WA",10000+ employees,Government,Retail,Consumer,$25 to $50 million (USD),151732,167467,159599,CA,1,45,data scientist,senior,2024-11-22,2024-11,Glassdoor,Hybrid,PhD,4,7,Non-Urban,0,Data Scientist,1,0,0,0,0,0,0
Analytics Engineer,$118906-150239,"We are looking for a Analytics Engineer to join our finance team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,Greenfield Health,"Boston, MA","Austin, TX",10000+ employees,Government,Financial Services,Finance,$1 to $5 billion (USD),118906,150239,134572,MA,1,37,data engineer,senior,2024-10-21,2024-10,Glassdoor,Onsite,MS,4,8,Non-Urban,1,Data Engineer,1,1,0,0,1,0,0
Applied Data Scientist,$77745-101032,"We are looking for a Applied Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,Greenfield Health,"Chicago, IL","New York, NY",5001 to 10000 employees,Company - Private,Education,Consumer,$1 to $5 million (USD),77745,101032,89388,IL,1,33,data scientist,jr,2024-03-08,2024-03,LinkedIn,Onsite,BA/BS,2,3,Urban,1,Data Scientist,0,1,0,0,1,1,0
Reporting Analyst,$130312-149871,"We are looking for a Reporting Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.0,Northstar Data,"Chicago, IL","San Francisco, CA",10000+ employees,Government,Consulting,Tech,$1 to $5 billion (USD),130312,149871,140091,IL,1,80,bi analyst,senior,2024-10-01,2024-10,LinkedIn,Hybrid,PhD,6,10,Non-Urban,0,Business Intelligence,1,0,0,0,1,1,0
Data Engineer,$106536-139041,"We are looking for a Data Engineer to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.2,Greenfield Health,"Austin, TX","New York, NY",51 to 200 employees,Company - Private,Information Technology,Healthcare,$5 to $10 billion (USD),106536,139041,122788,TX,1,79,data engineer,senior,2024-04-30,2024-04,Indeed,Remote,MS,6,10,Non-Urban,0,Data Engineer,1,1,0,0,0,1,0
Reporting Analyst,$76549-96178,"We are looking for a Reporting Analyst to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.0,NovaTech,"Denver, CO","San Francisco, CA",10000+ employees,Nonprofit Organization,Financial Services,Industrial,$500 million to $1 billion (USD),76549,96178,86363,CO,1,32,bi analyst,jr,2024-11-26,2024-11,Glassdoor,Remote,BA/BS,0,0,Non-Urban,1,Business Intelligence,1,0,0,1,0,0,0
Data Scientist,$74766-97767,"We are looking for a Data Scientist to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.8,CloudScale Labs,"Boston, MA","Chicago, IL",10000+ employees,Company - Public,Information Technology,Healthcare,$25 to $50 million (USD),74766,97767,86266,MA,1,7,data scientist,jr,2024-10-03,2024-10,Glassdoor,Onsite,None,2,2,Urban,1,Data Scientist,0,0,0,1,1,0,0
Applied Data Scientist,$116407-135250,"We are looking for a Applied Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.7,NovaTech,"Seattle, WA","Seattle, WA",1001 to 5000 employees,Company - Private,Telecommunications,Education,$50 to $100 million (USD),116407,135250,125828,WA,1,57,data scientist,senior,2024-01-23,2024-01,Glassdoor,Hybrid,BA/BS,4,7,Non-Urban,1,Data Scientist,0,0,0,0,0,1,0
Data Analyst,$88645-101788,"We are looking for a Data Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",3.2,Greenfield Health,"Miami, FL","Chicago, IL",501 to 1000 employees,Nonprofit Organization,Telecommunications,Education,$1 to $5 billion (USD),88645,101788,95216,FL,1,41,data analyst,mid,2024-12-25,2024-12,LinkedIn,Onsite,BA/BS,3,5,Urban,1,Data Analyst,0,1,0,0,0,1,0
Reporting Analyst,$120572-139204,"We are looking for a Reporting Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.3,NovaTech,"San Francisco, CA","New York, NY",10000+ employees,Company - Private,Financial Services,Consumer,$5 to $25 million (USD),120572,139204,129888,CA,1,55,bi analyst,senior,2024-07-09,2024-07,Indeed,Hybrid,PhD,6,10,Non-Urban,0,Business Intelligence,0,0,0,0,1,1,0
Junior Data Analyst,$124715-142173,"We are looking for a Junior Data Analyst to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.5,MetroBank,"Miami, FL","San Francisco, CA",51 to 200 employees,Government,Retail,Tech,$500 million to $1 billion (USD),124715,142173,133444,FL,1,44,data analyst,senior,2024-07-07,2024-07,LinkedIn,Onsite,PhD,4,7,Urban,0,Data Analyst,1,0,0,1,1,1,0
Data Engineer,$55416-85463,"We are looking for a Data Engineer to join our industrial team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.4,FinSight Capital,"San Francisco, CA","San Francisco, CA",5001 to 10000 employees,Company - Private,Financial Services,Industrial,$10+ billion (USD),55416,85463,70439,CA,1,7,data engineer,jr,2024-08-02,2024-08,Company Site,Remote,BA/BS,1,3,Non-Urban,0,Data Engineer,1,0,0,0,1,1,1
Junior Data Analyst,$99831-127734,"We are looking for a Junior Data Analyst to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.5,NovaTech,"Austin, TX","Chicago, IL",51 to 200 employees,Company - Private,Consulting,Consumer,$5 to $25 million (USD),99831,127734,113782,TX,1,18,data analyst,mid,2024-12-13,2024-12,Company Site,Hybrid,MS,2,3,Non-Urban,0,Data Analyst,1,0,1,0,0,0,0
Analytics Engineer,$87737-106012,"We are looking for a Analytics Engineer to join our tech team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",4.6,FinSight Capital,"Chicago, IL","San Francisco, CA",501 to 1000 employees,Company - Public,Consulting,Tech,$1 to $5 billion (USD),87737,106012,96874,IL,1,42,data engineer,mid,2024-01-22,2024-01,Company Site,Remote,BA/BS,3,6,Non-Urban,0,Data Engineer,1,1,0,0,0,1,0
Applied Data Scientist,$132271-150869,"We are looking for a Applied Data Scientist to join our consumer team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.3,Northstar Data,"Boston, MA","Austin, TX",1001 to 5000 employees,Government,Financial Services,Consumer,$100 to $500 million (USD),132271,150869,141570,MA,1,19,data scientist,senior,2024-04-23,2024-04,Glassdoor,Onsite,BA/BS,6,10,Urban,1,Data Scientist,0,0,0,0,1,0,1
Data Scientist,$65155-81229,"We are looking for a Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,MetroBank,"Chicago, IL","New York, NY",51 to 200 employees,Government,Telecommunications,Education,$5 to $10 billion (USD),65155,81229,73192,IL,1,40,data scientist,jr,2024-10-16,2024-10,Glassdoor,Onsite,BA/BS,0,1,Urban,1,Data Scientist,1,1,1,0,1,0,0
Reporting Analyst,$55823-85490,"We are looking for a Reporting Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.7,Greenfield Health,"San Francisco, CA","New York, NY",1001 to 5000 employees,Government,Telecommunications,Education,$10+ billion (USD),55823,85490,70656,CA,1,11,bi analyst,jr,2024-01-22,2024-01,Company Site,Onsite,None,1,3,Non-Urban,1,Business Intelligence,0,0,0,1,0,1,0
Data Scientist,$76015-100386,"We are looking for a Data Scientist to join our healthcare team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.7,BrightPath Education,"Miami, FL","Seattle, WA",51 to 200 employees,Nonprofit Organization,Consulting,Healthcare,$1 to $5 billion (USD),76015,100386,88200,FL,1,78,data scientist,jr,2024-06-22,2024-06,LinkedIn,Onsite,BA/BS,0,1,Urban,0,Data Scientist,0,1,0,0,1,0,0
Applied Data Scientist,$76778-94826,"We are looking for a Applied Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.2,Greenfield Health,"Austin, TX","San Francisco, CA",1001 to 5000 employees,Company - Private,Education,Education,$1 to $5 billion (USD),76778,94826,85802,TX,1,44,data scientist,jr,2024-06-17,2024-06,Indeed,Hybrid,None,2,4,Non-Urban,1,Data Scientist,0,0,1,0,1,0,0
Business Intelligence Analyst,$61969-75771,"We are looking for a Business Intelligence Analyst to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Experience with AI/ML tools and frameworks is preferred.",4.1,Greenfield Health,"San Francisco, CA","Seattle, WA",10000+ employees,Company - Private,Consulting,Education,$25 to $50 million (USD),61969,75771,68870,CA,1,58,bi analyst,jr,2024-03-19,2024-03,Indeed,Remote,None,2,3,Urban,1,Business Intelligence,0,1,0,0,1,1,0
Data Scientist,$107559-126763,"We are looking for a Data Scientist to join our education team. Responsibilities include building reports, analyzing datasets, and partnering with business stakeholders. Strong analytical and communication skills required.",3.8,MetroBank,"Denver, CO","Austin, TX",10000+ employees,Nonprofit Organization,Manufacturing,Education,$10+ billion (USD),107559,126763,117161,CO,1,35,data scientist,mid,2024-03-23,2024-03,Indeed,Onsite,BA/BS,3,4,Non-Urban,0,Data Scientist,1,0,1,0,1,1,0
