program_name,skills_taught
"Coursera – Meta Database Engineer Professional Certificate","SQL|Relational Databases|Data Modeling|Database Design|Python|ETL|APIs|Cloud|Communication"
"Udacity – Data Analyst Nanodegree","Python|Pandas|NumPy|Statistics|A/B Testing|SQL|Data Wrangling|Data Visualization|Matplotlib|Seaborn|Communication"
"Udacity – Data Scientist Nanodegree","Python|Pandas|NumPy|Statistics|Machine Learning|Supervised Learning|Unsupervised Learning|Deep Learning|NLP|Model Deployment|Git|GitHub"
"Udacity – Business Analytics Nanodegree","Excel|SQL|Tableau|Data Cleaning|Descriptive Statistics|Dashboards|Business Metrics|Communication"
"Metis – Data Science Bootcamp (Full-Time)","Python|Pandas|NumPy|Statistics|Probability|SQL|Machine Learning|Regression|Classification|Clustering|NLP|Big Data Tools|Data Visualization|Matplotlib|Seaborn|Git|GitHub|Communication"
"Metis – Analytics for Business Bootcamp","Excel|SQL|Tableau|Data Cleaning|Data Visualization|Storytelling|A/B Testing|Business Analytics|Communication"
"DataCamp – Data Analyst with Python Track","Python|Pandas|NumPy|Data Cleaning|Statistics|Data Visualization|Matplotlib|Seaborn|SQL"
"DataCamp – Data Scientist with Python Track","Python|Pandas|NumPy|Statistics|Machine Learning|Classification|Regression|Clustering|SQL|Data Visualization"
"DataCamp – Data Analyst with R Track","R|dplyr|ggplot2|Statistics|Data Cleaning|Data Visualization|SQL"
"Dataquest – Data Analyst in Python Path","Python|Pandas|NumPy|Statistics|SQL|Data Cleaning|APIs|Data Visualization"
"Dataquest – Data Scientist in Python Path","Python|Pandas|NumPy|Statistics|Machine Learning|Regression|Classification|APIs|Data Visualization"
"Dataquest – Data Engineer Path","Python|SQL|ETL|Databases|Airflow|Pipelines|APIs|Cloud"
"CareerFoundry – Data Analytics Program","Excel|SQL|Python|Data Cleaning|Descriptive Statistics|Tableau|Dashboards|Storytelling|Communication"
"CareerFoundry – Data Analytics Program (Intensive)","Excel|SQL|Python|Statistics|Tableau|Power BI|Dashboards|A/B Testing|Storytelling|Communication"
"Le Wagon – Data Science Bootcamp","Python|Pandas|NumPy|Statistics|Machine Learning|Regression|Classification|Clustering|SQL|Data Visualization|Git|GitHub"
"Le Wagon – Data Analytics Bootcamp","Excel|SQL|Python|Dashboards|Tableau|Power BI|Data Cleaning|Data Visualization"
"NYC Data Science Academy – Data Science Bootcamp","Python|R|Pandas|NumPy|Statistics|Machine Learning|Big Data|Spark|SQL|Data Visualization|Tableau|Communication"
"NYC Data Science Academy – Data Analytics Bootcamp","Excel|SQL|Tableau|Power BI|Data Cleaning|Descriptive Statistics|Dashboards|Storytelling|Communication"
"BrainStation – Data Science Diploma","Python|Pandas|NumPy|Statistics|SQL|Machine Learning|Regression|Classification|Clustering|Data Visualization|Tableau|Communication"
"BrainStation – Data Analytics Diploma","Excel|SQL|Tableau|Power BI|Data Cleaning|Data Visualization|Dashboards|Business Intelligence|Communication"
"Lambda School – Data Science (Now BloomTech)","Python|Pandas|NumPy|Statistics|Machine Learning|Deep Learning|SQL|Data Engineering Basics|Git|GitHub"
"BloomTech – Data Analytics Program","Excel|SQL|Tableau|Data Cleaning|Descriptive Statistics|Dashboards|Business Metrics|Communication"
"Ironhack – Data Analytics Bootcamp","Python|Pandas|NumPy|Statistics|SQL|Tableau|Data Cleaning|Data Visualization|Dashboards|Git|GitHub"
"Ironhack – Data Analytics Bootcamp (Part-Time)","Python|Pandas|NumPy|SQL|Tableau|Power BI|Data Cleaning|Dashboards|Communication"
"Jovian – Data Science Bootcamp","Python|Pandas|NumPy|Statistics|SQL|Machine Learning|Regression|Classification|Data Visualization|Matplotlib|Seaborn|Git|GitHub"
"Jovian – Data Analytics Bootcamp","Excel|SQL|Power BI|Tableau|Data Cleaning|Descriptive Statistics|Dashboards|Storytelling"
"MITx – MicroMasters in Statistics and Data Science","R|Python|Probability|Statistics|Machine Learning|Regression|Inference|Data Analysis"
"HarvardX – Data Science Professional Certificate","R|Tidyverse|Statistics|Probability|Machine Learning|Data Visualization|Data Wrangling"
"Berkeley Extension – Data Science Certificate","Python|Pandas|NumPy|Statistics|SQL|Machine Learning|Big Data|Spark|Data Visualization"
"Berkeley Extension – Data Analytics Certificate","Excel|SQL|Tableau|Power BI|Descriptive Statistics|Dashboards|Business Analytics"
"LinkedIn Learning – Become a Data Analyst Path","Excel|SQL|Power BI|Data Cleaning|Data Visualization|Dashboards|Communication"
"LinkedIn Learning – Become a Data Science Specialist","Python|Statistics|Machine Learning|Data Visualization|SQL|Communication"
"Pluralsight – Data Science Skill Path","Python|Statistics|Machine Learning|Data Visualization|SQL|Cloud"
"Pluralsight – Data Analytics Skill Path","Excel|Power BI|SQL|Data Cleaning|Dashboards|Storytelling"
"EdX – Professional Certificate in Data Analytics","Excel|SQL|R|Tableau|Data Cleaning|Descriptive Statistics|Dashboards|Reporting"
"EdX – Professional Certificate in Data Science","R|Python|Statistics|Probability|Machine Learning|Data Visualization|Communication"
